,OrderWeek,Segment,City,State,Region,SubCategory,Discount
85,21,Consumer,Columbia,South Carolina,South,Chairs,0.0
86,43,Consumer,Rochester,Minnesota,Central,Accessories,0.0
87,43,Consumer,Rochester,Minnesota,Central,Labels,0.0
88,14,Home Office,Houston,Texas,Central,Storage,0.2
89,37,Corporate,Los Angeles,California,West,Art,0.0
90,37,Corporate,Los Angeles,California,West,Phones,0.2
91,37,Corporate,Los Angeles,California,West,Paper,0.0
92,5,Consumer,Minneapolis,Minnesota,Central,Paper,0.0
93,5,Consumer,Minneapolis,Minnesota,Central,Furnishings,0.0
94,5,Consumer,Minneapolis,Minnesota,Central,Binders,0.0
96,45,Home Office,New York City,New York,East,Furnishings,0.0
97,24,Consumer,San Francisco,California,West,Binders,0.2
98,36,Corporate,Saint Paul,Minnesota,Central,Appliances,0.0
99,35,Home Office,Chicago,Illinois,Central,Paper,0.2
100,35,Home Office,Chicago,Illinois,Central,Accessories,0.2
102,48,Consumer,Rochester,Minnesota,Central,Paper,0.0
103,46,Consumer,Aurora,Colorado,West,Accessories,0.2
104,46,Consumer,Aurora,Colorado,West,Furnishings,0.2
106,47,Consumer,Charlotte,North Carolina,South,Accessories,0.2
107,47,Consumer,Charlotte,North Carolina,South,Phones,0.2
108,47,Consumer,Charlotte,North Carolina,South,Art,0.2
109,42,Home Office,Orland Park,Illinois,Central,Accessories,0.2
110,52,Corporate,New York City,New York,East,Furnishings,0.0
111,44,Consumer,Urbandale,Iowa,Central,Art,0.0
112,44,Consumer,Urbandale,Iowa,Central,Binders,0.0
114,35,Consumer,Columbus,Ohio,East,Envelopes,0.2
115,35,Consumer,Columbus,Ohio,East,Paper,0.2
116,35,Consumer,Columbus,Ohio,East,Envelopes,0.2
117,10,Consumer,Seattle,Washington,West,Tables,0.0
119,23,Consumer,Wilmington,Delaware,East,Furnishings,0.0
120,23,Consumer,Wilmington,Delaware,East,Binders,0.0
121,23,Consumer,Wilmington,Delaware,East,Storage,0.0
122,23,Consumer,Wilmington,Delaware,East,Envelopes,0.0
123,23,Consumer,Wilmington,Delaware,East,Phones,0.0
124,52,Home Office,Houston,Texas,Central,Chairs,0.3
125,38,Consumer,Bloomington,Illinois,Central,Tables,0.5
127,44,Consumer,Phoenix,Arizona,West,Storage,0.2
128,44,Home Office,Los Angeles,California,West,Chairs,0.2
129,44,Home Office,Los Angeles,California,West,Furnishings,0.0
130,5,Corporate,Columbus,Ohio,East,Phones,0.4
131,5,Corporate,Columbus,Ohio,East,Paper,0.2
132,5,Corporate,Columbus,Ohio,East,Fasteners,0.2
133,41,Consumer,Roseville,California,West,Paper,0.0
134,41,Consumer,Roseville,California,West,Paper,0.0
135,41,Consumer,Roseville,California,West,Art,0.0
136,41,Consumer,Roseville,California,West,Fasteners,0.0
137,41,Consumer,Roseville,California,West,Binders,0.2
138,41,Consumer,Roseville,California,West,Supplies,0.0
140,36,Corporate,Philadelphia,Pennsylvania,East,Furnishings,0.2
141,38,Corporate,San Francisco,California,West,Art,0.0
142,38,Corporate,San Francisco,California,West,Envelopes,0.0
143,38,Corporate,San Francisco,California,West,Paper,0.0
144,51,Consumer,Independence,Missouri,Central,Appliances,0.0
145,37,Consumer,Pasadena,California,West,Storage,0.0
146,43,Home Office,Newark,Ohio,East,Furnishings,0.2
148,49,Corporate,Franklin,Wisconsin,Central,Phones,0.0
149,49,Corporate,Franklin,Wisconsin,Central,Chairs,0.0
150,49,Corporate,Franklin,Wisconsin,Central,Binders,0.0
151,10,Home Office,Scottsdale,Arizona,West,Appliances,0.2
152,10,Home Office,Scottsdale,Arizona,West,Phones,0.2
153,22,Corporate,San Jose,California,West,Paper,0.0
154,22,Corporate,San Jose,California,West,Paper,0.0
155,22,Corporate,San Jose,California,West,Storage,0.0
156,22,Home Office,Seattle,Washington,West,Art,0.0
157,9,Consumer,Seattle,Washington,West,Chairs,0.2
158,46,Consumer,Edmond,Oklahoma,Central,Labels,0.0
159,46,Consumer,Edmond,Oklahoma,Central,Phones,0.0
160,19,Consumer,Los Angeles,California,West,Paper,0.0
161,53,Consumer,Philadelphia,Pennsylvania,East,Accessories,0.2
162,46,Consumer,Carlsbad,New Mexico,West,Envelopes,0.0
163,45,Consumer,Seattle,Washington,West,Binders,0.2
164,37,Consumer,San Antonio,Texas,Central,Art,0.2
165,37,Consumer,San Antonio,Texas,Central,Machines,0.4
166,37,Consumer,San Antonio,Texas,Central,Storage,0.2
167,37,Consumer,San Antonio,Texas,Central,Chairs,0.3
168,37,Consumer,San Antonio,Texas,Central,Art,0.2
170,37,Consumer,San Antonio,Texas,Central,Phones,0.2
171,32,Consumer,Los Angeles,California,West,Paper,0.0
172,32,Consumer,Los Angeles,California,West,Paper,0.0
173,32,Consumer,Los Angeles,California,West,Chairs,0.2
175,37,Corporate,Chicago,Illinois,Central,Labels,0.2
177,47,Consumer,Newark,Ohio,East,Chairs,0.3
178,47,Consumer,Newark,Ohio,East,Supplies,0.2
179,51,Home Office,New York City,New York,East,Art,0.0
180,49,Corporate,Decatur,Illinois,Central,Storage,0.2
181,49,Corporate,Decatur,Illinois,Central,Accessories,0.2
182,47,Home Office,Monroe,Louisiana,South,Phones,0.0
183,47,Home Office,Monroe,Louisiana,South,Phones,0.0
184,47,Home Office,Monroe,Louisiana,South,Accessories,0.0
185,48,Consumer,Fairfield,Connecticut,East,Binders,0.0
186,35,Home Office,Los Angeles,California,West,Accessories,0.0
187,28,Corporate,Grand Prairie,Texas,Central,Storage,0.2
188,28,Corporate,Grand Prairie,Texas,Central,Paper,0.2
189,42,Home Office,New York City,New York,East,Bookcases,0.2
190,42,Home Office,New York City,New York,East,Phones,0.0
191,42,Home Office,New York City,New York,East,Paper,0.0
192,42,Home Office,New York City,New York,East,Bookcases,0.2
193,42,Home Office,New York City,New York,East,Art,0.0
194,44,Corporate,Redlands,California,West,Envelopes,0.0
195,12,Consumer,Hamilton,Ohio,East,Art,0.2
196,12,Consumer,Hamilton,Ohio,East,Art,0.2
197,45,Home Office,Westfield,New Jersey,East,Storage,0.0
199,27,Corporate,Philadelphia,Pennsylvania,East,Paper,0.2
200,25,Consumer,Akron,Ohio,East,Paper,0.2
201,31,Consumer,Denver,Colorado,West,Tables,0.5
202,31,Consumer,Denver,Colorado,West,Appliances,0.2
204,22,Corporate,Franklin,Tennessee,South,Furnishings,0.2
205,49,Consumer,Whittier,California,West,Phones,0.2
206,48,Consumer,Saginaw,Michigan,Central,Storage,0.0
207,48,Consumer,Saginaw,Michigan,Central,Phones,0.0
208,48,Consumer,Saginaw,Michigan,Central,Binders,0.0
209,48,Consumer,Saginaw,Michigan,Central,Fasteners,0.0
210,48,Consumer,Saginaw,Michigan,Central,Storage,0.0
211,7,Corporate,Dallas,Texas,Central,Accessories,0.2
212,1,Corporate,Medina,Ohio,East,Labels,0.2
213,1,Corporate,Medina,Ohio,East,Bookcases,0.5
214,1,Corporate,Medina,Ohio,East,Phones,0.4
216,1,Corporate,Medina,Ohio,East,Accessories,0.2
217,43,Consumer,Los Angeles,California,West,Storage,0.0
218,43,Consumer,Los Angeles,California,West,Phones,0.2
219,52,Consumer,Dublin,Ohio,East,Fasteners,0.2
220,52,Consumer,Dublin,Ohio,East,Paper,0.2
222,52,Consumer,Dublin,Ohio,East,Furnishings,0.2
224,52,Consumer,Dublin,Ohio,East,Art,0.2
225,32,Corporate,Detroit,Michigan,Central,Art,0.0
226,32,Corporate,Detroit,Michigan,Central,Tables,0.0
227,32,Corporate,Detroit,Michigan,Central,Storage,0.0
228,9,Consumer,Columbia,Tennessee,South,Chairs,0.2
229,9,Consumer,Columbia,Tennessee,South,Chairs,0.2
231,14,Home Office,Tampa,Florida,South,Tables,0.45
232,14,Home Office,Tampa,Florida,South,Tables,0.45
234,14,Home Office,Tampa,Florida,South,Furnishings,0.2
235,14,Home Office,Tampa,Florida,South,Accessories,0.2
236,45,Corporate,Santa Clara,California,West,Paper,0.0
237,22,Consumer,Chicago,Illinois,Central,Paper,0.2
240,22,Consumer,Chicago,Illinois,Central,Phones,0.2
241,22,Consumer,Chicago,Illinois,Central,Tables,0.5
243,22,Consumer,Chicago,Illinois,Central,Art,0.2
244,22,Home Office,Lakeville,Minnesota,Central,Chairs,0.0
245,22,Home Office,Lakeville,Minnesota,Central,Storage,0.0
246,22,Home Office,Lakeville,Minnesota,Central,Paper,0.0
247,22,Home Office,Lakeville,Minnesota,Central,Appliances,0.0
248,22,Home Office,Lakeville,Minnesota,Central,Paper,0.0
249,49,Consumer,San Francisco,California,West,Chairs,0.2
250,36,Consumer,San Diego,California,West,Paper,0.0
252,49,Consumer,New York City,New York,East,Storage,0.0
253,49,Consumer,New York City,New York,East,Envelopes,0.0
255,48,Corporate,Chicago,Illinois,Central,Storage,0.2
256,48,Corporate,Chicago,Illinois,Central,Storage,0.2
257,48,Corporate,Chicago,Illinois,Central,Phones,0.2
258,48,Consumer,New York City,New York,East,Accessories,0.0
259,48,Consumer,New York City,New York,East,Storage,0.0
260,48,Consumer,New York City,New York,East,Binders,0.2
262,38,Corporate,Houston,Texas,Central,Machines,0.4
263,38,Corporate,Houston,Texas,Central,Machines,0.4
264,23,Consumer,Chicago,Illinois,Central,Phones,0.2
265,46,Consumer,Brentwood,California,West,Accessories,0.0
266,24,Corporate,Chapel Hill,North Carolina,South,Art,0.2
267,3,Consumer,Morristown,New Jersey,East,Fasteners,0.0
268,49,Corporate,Cincinnati,Ohio,East,Storage,0.2
269,49,Corporate,Cincinnati,Ohio,East,Envelopes,0.2
270,52,Corporate,San Francisco,California,West,Storage,0.0
271,31,Consumer,San Francisco,California,West,Accessories,0.0
272,31,Consumer,San Francisco,California,West,Furnishings,0.0
273,31,Consumer,San Francisco,California,West,Binders,0.2
274,37,Corporate,Inglewood,California,West,Paper,0.0
275,37,Corporate,Inglewood,California,West,Art,0.0
276,41,Corporate,Philadelphia,Pennsylvania,East,Paper,0.2
277,41,Corporate,Philadelphia,Pennsylvania,East,Paper,0.2
278,41,Corporate,Philadelphia,Pennsylvania,East,Storage,0.2
279,41,Corporate,Philadelphia,Pennsylvania,East,Labels,0.2
281,39,Consumer,Houston,Texas,Central,Phones,0.2
282,45,Consumer,Los Angeles,California,West,Tables,0.2
283,39,Consumer,Portland,Oregon,West,Paper,0.2
284,39,Consumer,Portland,Oregon,West,Accessories,0.2
285,39,Consumer,Portland,Oregon,West,Paper,0.2
287,50,Corporate,Tamarac,Florida,South,Appliances,0.2
288,50,Corporate,Tamarac,Florida,South,Supplies,0.2
289,46,Home Office,Columbus,Ohio,East,Fasteners,0.2
290,46,Home Office,Columbus,Ohio,East,Labels,0.2
291,46,Home Office,Columbus,Ohio,East,Accessories,0.2
292,46,Home Office,Columbus,Ohio,East,Bookcases,0.5
293,52,Corporate,Colorado Springs,Colorado,West,Furnishings,0.2
294,52,Corporate,Colorado Springs,Colorado,West,Chairs,0.2
295,52,Corporate,Colorado Springs,Colorado,West,Furnishings,0.2
297,52,Corporate,Colorado Springs,Colorado,West,Fasteners,0.2
298,43,Corporate,Belleville,New Jersey,East,Paper,0.0
299,43,Corporate,Belleville,New Jersey,East,Storage,0.0
300,43,Corporate,Belleville,New Jersey,East,Paper,0.0
301,43,Corporate,Belleville,New Jersey,East,Furnishings,0.0
302,43,Corporate,Belleville,New Jersey,East,Binders,0.0
303,46,Consumer,Chicago,Illinois,Central,Tables,0.5
304,19,Corporate,New York City,New York,East,Furnishings,0.0
305,1,Corporate,Taylor,Michigan,Central,Art,0.0
306,22,Home Office,Lakewood,New Jersey,East,Binders,0.0
307,22,Home Office,Lakewood,New Jersey,East,Art,0.0
308,15,Consumer,Arlington,Virginia,South,Art,0.0
309,37,Corporate,Arvada,Colorado,West,Furnishings,0.2
310,37,Corporate,Arvada,Colorado,West,Chairs,0.2
311,37,Corporate,Arvada,Colorado,West,Furnishings,0.2
312,37,Corporate,Arvada,Colorado,West,Labels,0.2
313,39,Corporate,Hackensack,New Jersey,East,Furnishings,0.0
314,32,Corporate,Saint Petersburg,Florida,South,Phones,0.2
315,32,Corporate,Saint Petersburg,Florida,South,Paper,0.2
316,52,Corporate,Philadelphia,Pennsylvania,East,Art,0.2
317,45,Home Office,New York City,New York,East,Chairs,0.1
318,45,Home Office,New York City,New York,East,Machines,0.0
319,45,Home Office,New York City,New York,East,Phones,0.0
320,45,Home Office,New York City,New York,East,Accessories,0.0
321,45,Home Office,New York City,New York,East,Storage,0.0
322,38,Corporate,Long Beach,California,West,Fasteners,0.0
323,16,Corporate,Hesperia,California,West,Binders,0.2
324,16,Corporate,Hesperia,California,West,Accessories,0.0
325,44,Corporate,Murfreesboro,Tennessee,South,Furnishings,0.2
326,35,Consumer,Philadelphia,Pennsylvania,East,Phones,0.4
327,35,Consumer,Philadelphia,Pennsylvania,East,Storage,0.2
328,35,Consumer,Philadelphia,Pennsylvania,East,Chairs,0.3
331,17,Consumer,Philadelphia,Pennsylvania,East,Phones,0.4
334,36,Consumer,Los Angeles,California,West,Binders,0.2
335,36,Consumer,Los Angeles,California,West,Copiers,0.2
336,36,Consumer,Los Angeles,California,West,Binders,0.2
337,28,Corporate,San Francisco,California,West,Binders,0.2
338,28,Corporate,San Francisco,California,West,Tables,0.2
339,26,Consumer,Layton,Utah,West,Fasteners,0.0
340,15,Corporate,Philadelphia,Pennsylvania,East,Art,0.2
344,51,Consumer,Austin,Texas,Central,Storage,0.2
345,24,Consumer,San Francisco,California,West,Phones,0.2
346,27,Consumer,Lowell,Massachusetts,East,Art,0.0
347,27,Consumer,Lowell,Massachusetts,East,Paper,0.0
348,27,Consumer,Lowell,Massachusetts,East,Art,0.0
349,35,Home Office,New York City,New York,East,Accessories,0.0
351,35,Home Office,New York City,New York,East,Binders,0.2
352,35,Home Office,New York City,New York,East,Paper,0.0
353,35,Home Office,New York City,New York,East,Binders,0.2
354,14,Consumer,New York City,New York,East,Bookcases,0.2
355,14,Consumer,New York City,New York,East,Envelopes,0.0
356,14,Consumer,New York City,New York,East,Art,0.0
357,14,Consumer,New York City,New York,East,Paper,0.0
358,16,Corporate,Charlotte,North Carolina,South,Paper,0.2
359,10,Corporate,Columbus,Georgia,South,Appliances,0.0
360,10,Corporate,Columbus,Georgia,South,Labels,0.0
361,39,Consumer,New York City,New York,East,Labels,0.0
362,39,Consumer,New York City,New York,East,Chairs,0.1
363,39,Consumer,New York City,New York,East,Art,0.0
364,39,Consumer,New York City,New York,East,Furnishings,0.0
365,39,Consumer,San Francisco,California,West,Storage,0.0
366,42,Corporate,Manchester,Connecticut,East,Binders,0.0
367,42,Corporate,Manchester,Connecticut,East,Supplies,0.0
368,42,Corporate,Manchester,Connecticut,East,Storage,0.0
369,42,Corporate,Manchester,Connecticut,East,Bookcases,0.0
370,22,Consumer,Harlingen,Texas,Central,Paper,0.2
371,22,Consumer,Harlingen,Texas,Central,Storage,0.2
373,30,Consumer,Tucson,Arizona,West,Accessories,0.2
374,30,Consumer,Tucson,Arizona,West,Art,0.2
376,39,Corporate,Quincy,Illinois,Central,Paper,0.2
377,34,Corporate,Franklin,Massachusetts,East,Tables,0.3
379,18,Consumer,Houston,Texas,Central,Storage,0.2
381,43,Corporate,San Francisco,California,West,Paper,0.0
382,43,Corporate,San Francisco,California,West,Binders,0.2
383,26,Corporate,Taylor,Michigan,Central,Accessories,0.0
384,48,Consumer,Pembroke Pines,Florida,South,Tables,0.45
385,48,Consumer,Pembroke Pines,Florida,South,Accessories,0.2
387,49,Corporate,Philadelphia,Pennsylvania,East,Furnishings,0.2
388,48,Consumer,Cincinnati,Ohio,East,Art,0.2
389,50,Consumer,New York City,New York,East,Binders,0.2
390,50,Consumer,New York City,New York,East,Accessories,0.0
391,38,Consumer,Des Moines,Washington,West,Phones,0.2
392,38,Consumer,Des Moines,Washington,West,Copiers,0.0
394,26,Home Office,Las Vegas,Nevada,West,Binders,0.2
395,42,Corporate,Warwick,Rhode Island,East,Storage,0.0
396,42,Corporate,Warwick,Rhode Island,East,Paper,0.0
397,44,Home Office,Jackson,Michigan,Central,Supplies,0.0
398,36,Consumer,Houston,Texas,Central,Storage,0.2
399,36,Consumer,Houston,Texas,Central,Bookcases,0.32
400,36,Consumer,Houston,Texas,Central,Storage,0.2
401,36,Consumer,Houston,Texas,Central,Accessories,0.2
402,52,Consumer,Miami,Florida,South,Paper,0.2
403,16,Corporate,Wilmington,North Carolina,South,Art,0.2
404,51,Consumer,New York City,New York,East,Appliances,0.0
405,49,Consumer,San Francisco,California,West,Accessories,0.0
406,49,Consumer,San Francisco,California,West,Copiers,0.2
407,49,Consumer,San Francisco,California,West,Paper,0.0
408,49,Consumer,San Francisco,California,West,Tables,0.2
409,49,Consumer,San Francisco,California,West,Paper,0.0
410,49,Consumer,San Francisco,California,West,Labels,0.0
411,49,Consumer,San Francisco,California,West,Paper,0.0
413,49,Consumer,San Francisco,California,West,Chairs,0.2
414,44,Corporate,Seattle,Washington,West,Paper,0.0
415,44,Corporate,Seattle,Washington,West,Chairs,0.2
416,25,Consumer,Huntington Beach,California,West,Art,0.0
417,15,Consumer,Los Angeles,California,West,Chairs,0.2
418,45,Corporate,Richmond,Kentucky,South,Paper,0.0
419,9,Corporate,Los Angeles,California,West,Art,0.0
420,9,Corporate,Los Angeles,California,West,Envelopes,0.0
421,25,Consumer,Louisville,Colorado,West,Accessories,0.2
422,42,Corporate,Lawrence,Massachusetts,East,Furnishings,0.0
423,42,Corporate,Lawrence,Massachusetts,East,Storage,0.0
424,34,Consumer,Jackson,Mississippi,South,Chairs,0.0
425,47,Corporate,Canton,Michigan,Central,Furnishings,0.0
426,47,Corporate,Canton,Michigan,Central,Binders,0.0
427,37,Home Office,New Rochelle,New York,East,Machines,0.0
428,39,Corporate,San Antonio,Texas,Central,Art,0.2
431,15,Home Office,Gastonia,North Carolina,South,Accessories,0.2
432,15,Home Office,Gastonia,North Carolina,South,Storage,0.2
433,23,Consumer,Lowell,Massachusetts,East,Storage,0.0
435,51,Consumer,Jacksonville,Florida,South,Accessories,0.2
436,23,Home Office,Chicago,Illinois,Central,Machines,0.3
437,23,Home Office,Chicago,Illinois,Central,Paper,0.2
438,37,Corporate,Houston,Texas,Central,Paper,0.2
439,3,Corporate,New York City,New York,East,Chairs,0.1
440,36,Consumer,Detroit,Michigan,Central,Furnishings,0.0
441,36,Consumer,Detroit,Michigan,Central,Storage,0.0
442,36,Consumer,Detroit,Michigan,Central,Storage,0.0
443,36,Consumer,Detroit,Michigan,Central,Paper,0.0
444,36,Consumer,Detroit,Michigan,Central,Chairs,0.0
445,36,Consumer,Detroit,Michigan,Central,Labels,0.0
446,12,Consumer,Columbus,Indiana,Central,Furnishings,0.0
447,13,Consumer,Auburn,New York,East,Art,0.0
448,13,Consumer,Auburn,New York,East,Storage,0.0
449,13,Consumer,Auburn,New York,East,Art,0.0
450,13,Consumer,Auburn,New York,East,Art,0.0
451,13,Consumer,Auburn,New York,East,Art,0.0
452,13,Consumer,Auburn,New York,East,Phones,0.0
453,42,Corporate,Akron,Ohio,East,Tables,0.4
454,42,Corporate,Akron,Ohio,East,Storage,0.2
455,50,Corporate,Norman,Oklahoma,Central,Accessories,0.0
456,7,Consumer,Concord,California,West,Chairs,0.2
457,39,Consumer,Decatur,Illinois,Central,Chairs,0.3
458,39,Consumer,Decatur,Illinois,Central,Envelopes,0.2
459,51,Consumer,Seattle,Washington,West,Appliances,0.0
460,51,Consumer,Seattle,Washington,West,Accessories,0.0
461,51,Consumer,Seattle,Washington,West,Binders,0.2
462,16,Home Office,Phoenix,Arizona,West,Furnishings,0.2
463,16,Home Office,Phoenix,Arizona,West,Tables,0.5
465,16,Home Office,Phoenix,Arizona,West,Supplies,0.2
466,16,Home Office,Phoenix,Arizona,West,Appliances,0.2
468,13,Corporate,Amarillo,Texas,Central,Bookcases,0.32
470,51,Corporate,Lindenhurst,New York,East,Paper,0.0
471,45,Consumer,San Francisco,California,West,Storage,0.0
472,45,Consumer,San Francisco,California,West,Bookcases,0.15
473,45,Consumer,San Francisco,California,West,Phones,0.2
474,45,Consumer,San Francisco,California,West,Storage,0.0
475,45,Consumer,San Francisco,California,West,Paper,0.0
476,45,Consumer,San Francisco,California,West,Paper,0.0
477,28,Corporate,Los Angeles,California,West,Phones,0.2
478,43,Consumer,Troy,New York,East,Furnishings,0.0
479,25,Corporate,New York City,New York,East,Art,0.0
480,25,Corporate,New York City,New York,East,Storage,0.0
481,41,Consumer,San Diego,California,West,Accessories,0.0
482,30,Consumer,New York City,New York,East,Art,0.0
483,30,Consumer,New York City,New York,East,Accessories,0.0
484,23,Home Office,Los Angeles,California,West,Labels,0.0
485,23,Home Office,Los Angeles,California,West,Bookcases,0.15
486,23,Home Office,Los Angeles,California,West,Phones,0.2
487,44,Consumer,Chicago,Illinois,Central,Phones,0.2
488,24,Home Office,Huntsville,Texas,Central,Phones,0.2
489,24,Home Office,Huntsville,Texas,Central,Accessories,0.2
490,24,Home Office,Huntsville,Texas,Central,Art,0.2
491,37,Consumer,Rochester,New York,East,Storage,0.0
492,37,Consumer,Rochester,New York,East,Envelopes,0.0
493,19,Consumer,Seattle,Washington,West,Accessories,0.0
494,11,Consumer,Memphis,Tennessee,South,Tables,0.4
495,52,Consumer,Fayetteville,Arkansas,South,Envelopes,0.0
496,30,Consumer,Costa Mesa,California,West,Binders,0.2
497,30,Consumer,Costa Mesa,California,West,Furnishings,0.0
498,30,Consumer,Costa Mesa,California,West,Chairs,0.2
499,30,Consumer,Costa Mesa,California,West,Furnishings,0.0
502,22,Corporate,Parker,Colorado,West,Chairs,0.2
504,22,Corporate,Parker,Colorado,West,Paper,0.2
505,45,Corporate,New York City,New York,East,Binders,0.2
506,12,Consumer,Atlanta,Georgia,South,Art,0.0
507,12,Consumer,Atlanta,Georgia,South,Art,0.0
508,12,Consumer,Atlanta,Georgia,South,Storage,0.0
509,12,Consumer,Atlanta,Georgia,South,Binders,0.0
510,47,Consumer,Gladstone,Missouri,Central,Furnishings,0.0
511,47,Consumer,Gladstone,Missouri,Central,Accessories,0.0
512,42,Consumer,Newark,Ohio,East,Art,0.2
513,51,Consumer,Los Angeles,California,West,Art,0.0
514,51,Consumer,Los Angeles,California,West,Art,0.0
515,3,Home Office,Great Falls,Montana,West,Copiers,0.0
516,3,Home Office,Great Falls,Montana,West,Storage,0.0
517,3,Home Office,Great Falls,Montana,West,Paper,0.0
518,3,Home Office,Great Falls,Montana,West,Storage,0.0
519,12,Consumer,Houston,Texas,Central,Accessories,0.2
520,12,Consumer,Houston,Texas,Central,Storage,0.2
522,4,Corporate,Detroit,Michigan,Central,Tables,0.0
523,20,Consumer,Los Angeles,California,West,Phones,0.2
524,20,Consumer,Los Angeles,California,West,Accessories,0.0
525,52,Consumer,Lawrence,Massachusetts,East,Fasteners,0.0
526,42,Home Office,Lakeland,Florida,South,Chairs,0.2
527,42,Home Office,Lakeland,Florida,South,Furnishings,0.2
528,36,Consumer,Philadelphia,Pennsylvania,East,Storage,0.2
529,36,Consumer,Philadelphia,Pennsylvania,East,Supplies,0.2
530,36,Consumer,Philadelphia,Pennsylvania,East,Envelopes,0.2
531,45,Corporate,Los Angeles,California,West,Chairs,0.2
532,36,Consumer,Los Angeles,California,West,Furnishings,0.0
533,21,Consumer,Montgomery,Alabama,South,Phones,0.0
